Rank,Game Name,Total Accumulated Views,Uploaded Videos,Avg Views / Video,View Share (%),Last Screenshot
1,codBlackops6,28654,0,0,26.2%,N/A
2,SpiderMan2,20664,0,0,18.9%,N/A
3,Callofdutyaw,13818,1,13818,12.64%,N/A
4,mm2remastered,12558,0,0,11.48%,N/A
5,MarvelsSpiderMan2,11498,1,11498,10.51%,N/A
6,RescueOperation,6533,1,6533,5.97%,N/A
7,Ghost Destroys Mexican,3530,1,3530,3.23%,N/A
8,combatopration,2810,0,0,2.57%,N/A
9, UkraineCovertMission,2027,0,0,1.85%,N/A
10,Russian_secret_missions,1701,1,1701,1.56%,N/A
11,ghostandela,1438,0,0,1.31%,N/A
12,AfghanistanRedZone,1290,1,1290,1.18%,N/A
13,Ghost_soap_escap,1217,1,1217,1.11%,N/A
14,VietnamCavePrison,595,0,0,0.54%,N/A
15,sifu,568,0,0,0.52%,N/A
16,monkeyKing,224,0,0,0.2%,N/A
17,DiabloIV,148,1,148,0.14%,N/A
18,GodofWarLaufey ,81,1,81,0.07%,N/A
19,GODOFWAR3,0,2,0,0.0%,N/A
