Timestamp,Game Name,Target File,Chosen Style,Streak,Total Videos,Uploaded Videos,Remaining Videos,Facebook Video Link,Uploaded Game Link,Next Rotation Game,Next Rotation Link,Video Views,Game Total Views,All Games Total Views Summary,AI Reasoning / Approve Reason,Screenshot Path
2026-09-23 20:10:36,GodofWarLaufey ,game_links_editor/GodofWarLaufey .txt,emoji_heavy,0,14,1,13,,GodofWarLaufey_4 | Link: https://github.com/Prembty12/premx-editor/releases/download/v1.0.105/GodofWarLaufey_4.mp4,MarvelsSpiderMan2,MarvelsSpiderMan21 | Link: https://github.com/Prembty12/premx-editor/releases/download/v1.0.95/MarvelsSpiderMan21.mp4,0,80,"{"" UkraineCovertMission"": 2027, ""AfghanistanRedZone"": 1282, ""Callofdutyaw"": 13551, ""DiabloIV"": 148, ""GODOFWAR3"": 0, ""Ghost Destroys Mexican"": 3530, ""Ghost_soap_escap"": 1210, ""GodofWarLaufey "": 80, ""MarvelsSpiderMan2"": 11486, ""RescueOperation"": 6530, ""Russian_secret_missions"": 1698, ""SpiderMan2"": 20651, ""VietnamCavePrison"": 595, ""codBlackops6"": 28648, ""combatopration"": 2810, ""ghostandela"": 1438, ""mm2remastered"": 11865, ""monkeyKing"": 224, ""sifu"": 566}",Default style selection approved.,N/A
2026-09-23 20:39:14,#MarvelsSpiderMan2,game_links_editor/MarvelsSpiderMan2.txt,secret,0,36,1,35,,,MarvelsSpiderMan21 | Link: https://github.com/Prembty12/premx-editor/releases/download/v1.0.95/MarvelsSpiderMan21.mp4,"Soldiers Run and Shoot in City Chaos 💥

#videogames #gamingcommunity #gaming #callofdutyaw #gamingreels #reels",🔥 SECRET Gaming Moment! 🎮 Catch this epic action live. Check out more details and gameplay. #MarvelsSpiderMan2 #gaming #videogames #gamingcommunity #reels #gamingreels,#RescueOperation,RescueOperation2 | Link: https://github.com/Prembty12/premx-editor/releases/download/v1.0.93/RescueOperation2.mp4,0,11486,"{""#UkraineCovertMission"": 2027, ""#AfghanistanRedZone"": 1282, ""#Callofdutyaw"": 13578, ""#DiabloIV"": 148, ""#GODOFWAR3"": 0, ""#GhostDestroysMexican"": 3530, ""#Ghost_soap_escap"": 1210, ""#GodofWarLaufey"": 80, ""#MarvelsSpiderMan2"": 11486, ""#RescueOperation"": 6530, ""#Russian_secret_missions"": 1698, ""#SpiderMan2"": 20651, ""#VietnamCavePrison"": 595, ""#codBlackops6"": 28648, ""#combatopration"": 2810, ""#ghostandela"": 1438, ""#mm2remastered"": 11879, ""#monkeyKing"": 224, ""#sifu"": 566}",Default style selection approved.,N/A
2026-09-23 20:49:11,#RescueOperation,game_links_editor/RescueOperation.txt,funny_roast,0,4,1,3,,,RescueOperation2 | Link: https://github.com/Prembty12/premx-editor/releases/download/v1.0.93/RescueOperation2.mp4,"Soldiers Run and Shoot in City Chaos 💥

#videogames #gamingcommunity #gaming #callofdutyaw #gamingreels #reels",🔥 FUNNY_ROAST Gaming Moment! 🎮 Catch this epic action live. Check out more details and gameplay. #RescueOperation #gaming #videogames #gamingcommunity #reels #gamingreels,#Russian_secret_missions,Russian_secret_missions1 | Link: https://github.com/Prembty12/premx-editor/releases/download/v1.0.83/Russian_secret_missions1.mp4,0,6530,"{""#UkraineCovertMission"": 2027, ""#AfghanistanRedZone"": 1282, ""#Callofdutyaw"": 13585, ""#DiabloIV"": 148, ""#GODOFWAR3"": 0, ""#GhostDestroysMexican"": 3530, ""#Ghost_soap_escap"": 1210, ""#GodofWarLaufey"": 80, ""#MarvelsSpiderMan2"": 11486, ""#RescueOperation"": 6530, ""#Russian_secret_missions"": 1698, ""#SpiderMan2"": 20651, ""#VietnamCavePrison"": 595, ""#codBlackops6"": 28648, ""#combatopration"": 2810, ""#ghostandela"": 1438, ""#mm2remastered"": 11889, ""#monkeyKing"": 224, ""#sifu"": 566}",Default style selection approved.,N/A
2026-09-23 20:52:39,#Russian_secret_missions,game_links_editor/Russian_secret_missions.txt,curiosity,0,29,1,28,,,Russian_secret_missions1 | Link: https://github.com/Prembty12/premx-editor/releases/download/v1.0.83/Russian_secret_missions1.mp4,"Soldiers Run and Shoot in City Chaos 💥

#videogames #gamingcommunity #gaming #callofdutyaw #gamingreels #reels",🔥 CURIOSITY Gaming Moment! 🎮 Catch this epic action live. Check out more details and gameplay. #Russian_secret_missions #gaming #videogames #gamingcommunity #reels #gamingreels,#SpiderMan2,SpiderMan22 | Link: https://github.com/Prembty12/premx-editor/releases/download/v1.0.13/SpiderMan22.mp4,0,1698,"{""#UkraineCovertMission"": 2027, ""#AfghanistanRedZone"": 1282, ""#Callofdutyaw"": 13586, ""#DiabloIV"": 148, ""#GODOFWAR3"": 0, ""#GhostDestroysMexican"": 3530, ""#Ghost_soap_escap"": 1210, ""#GodofWarLaufey"": 80, ""#MarvelsSpiderMan2"": 11486, ""#RescueOperation"": 6530, ""#Russian_secret_missions"": 1698, ""#SpiderMan2"": 20651, ""#VietnamCavePrison"": 595, ""#codBlackops6"": 28648, ""#combatopration"": 2810, ""#ghostandela"": 1438, ""#mm2remastered"": 11891, ""#monkeyKing"": 224, ""#sifu"": 566}",Default style selection approved.,N/A
2026-09-23 21:04:23,#mm2remastered,game_links_editor/mm2remastered.txt,clickbait,1,14,1,13,/reel/1829429441565917/,N/A,mm2remastered_2 | Link: https://github.com/Prembty12/premx-editor/releases/download/v1.0.92/mm2remastered_2.mp4,"Can you survive this red firestorm?

